"OS Visits Dates (Year)","Yearly Total - OS Visits to UK","Uk Visits Dates (Year)","Yearly Total - UK Visits Abroad","OS Visit Dates (Month)","Monthly Total - OS Visits to UK","UK Visits Dates (Month)","Monthly Total - UK Visits Abroad","UK Visits Dates (Quarter)","Quarterly Total - UK Visits Abroad","OS Visits Dates (Quarter)","Quarterley Total - OS Visits to UK"
"2017","41080","2019","93086","2019 AUG","4418","2019 AUG","11628","2019 Q3","30000","2019 Q3","11865"
"2019","40857","2018","90571","2017 JUL","4344","2018 AUG","11533","","","",""
"2018","40281","2017","87242","2017 AUG","4253","2017 AUG","10819","","","",""
"2016","39127","2016","81758","2018 JUL","4172","2016 AUG","10530","","","",""
"2015","36792","2015","77618","2019 JUL","4155","2015 AUG","10065","","","",""
"2014","35337","2014","72207","2018 AUG","4126","2019 SEP","9725","","","",""
"2013","33567","2006","69535","2016 JUL","3877","2018 SEP","9644","","","",""
"2007","32778","2007","69449","2016 AUG","3854","2017 SEP","9552","","","",""
"2006","32715","2008","69008","2017 APR","3731","2014 AUG","9546","","","",""
"2012","32222","2013","68959","2019 OCT","3731","2019 JUN","9125","","","",""
