Title,OS visits to UK:Earnings: £ Millions-NSA,UK visits abroad:Expenditure: £ Millions-NSA,OS visits to UK:All visits Thousands-NSA,UK visits abroad:Expenditure abroad: £ Millions -(Cur.Price-SA),OS visits to the UK: Thousands - SA,UK visits abroad:All visits Thousands-NSA,UK visits abroad: All visits Thousands - SA,OS visits to UK :Earnings: £ Millions-(Cur.Price-SA)
CDID,GMAK,GMAM,GMAA,GMBB,GMAT,GMAF,GMAX,GMAZ
PreUnit,£,£,,£,,,,£
Unit,m,m,,m,,,,m
Release Date,44824,44824,44824,44824,44824,44824,44824,44824
Next release,To be announced,To be announced,To be announced,To be announced,To be announced,To be announced,To be announced,To be announced
Important Notes,,,,,,,,
1980,2961,2738,12419,,,17505,,
1981,2970,3271,11451,,,19048,,
1982,3186,3640,11638,,,20611,,
1983,4002,4088,12464,,,20994,,
1984,4613,4666,13642,,,22074,,
1985,5442,4870,14450,,,21608,,
1986,5554,6082,13897,6080,13898,24948,24947,5550
1987,6259,7280,15565,7280,15563,27447,27447,6260
1988,6185,8215,15799,8200,15798,28830,28830,6200
1989,6945,9357,17339,9360,17339,31032,31033,6950
1990,7748,9884,18017,9885,18017,31150,31150,7740
1991,7386,9951,17125,9952,17126,30809,30809,7390
1992,7892,11243,18533,11242,18532,33832,33831,7892
1993,9487,12972,19866,12970,19866,36722,36720,9487
1994,9785,14364,20794,14220,20730,39630,39700,9630
1995,11762,15388,23538,15260,23520,41346,41350,11720
1996,12291,16223,25160,16240,25260,42053,41850,12260
1997,12243,16929,25515,16940,25590,45957,46000,12240
1998,12671,19490,25746,19650,25790,50873,50980,12740
1999,12499,22020,25394,22030,25410,53882,53870,12550
2000,12806,24250,25207,24150,25190,56837,56620,12750
2001,11305,25332,22832,25250,22820,58281,58360,11400
2002,11737,26962,24392,26930,24340,59498,59620,11700
2003,11856,28550,24874,28590,24820,61334,61440,11850
2004,13047,30285,27626,30210,27630,64174,64040,12970
2005,14247,32155,29970,32270,29980,66442,66560,14320
2006,16001,34411,32715,34570,32680,69535,69550,15900
2007,15959,35013,32778,35080,32800,69449,69510,16000
2008,16326,36837,31888,36900,31980,69008,68790,16350
2009,17593,34455,31072,34729,31026,63513,63617,17599
2010,17800,37129,30398,36953,30395,64649,64606,17803
2011,18974,37918,31887,37855,31874,67494,67522,18897
2012,19781,38475,32222,38219,32344,66857,66674,19676
2013,22237,41369,33567,41255,33519,68959,68971,22163
2014,23425,43067,35337,42984,35248,72207,72225,23354
2015,23838,46480,36792,46345,36712,77618,77734,23898
2016,25414,50863,39127,50528,39155,81758,81458,25343
2017,28396,54429,41080,54357,41021,87242,87241,28176
2018,26506,58129,40281,58162,40291,90571,90637,26691
2019,28447,62326,40857,62290,40814,93086,93116,28358
2020,6209,13767,11100,,,23827,,
2021,5446,15227,6263,,,18846,,
1980 Q1,516,399,2081,,,2661,,
1980 Q2,715,672,3240,,,4656,,
1980 Q3,1122,1127,4738,,,6985,,
1980 Q4,608,540,2360,,,3203,,
1981 Q1,464,455,1920,,,2718,,
1981 Q2,677,787,3008,,,4908,,
1981 Q3,1152,1387,4261,,,7867,,
1981 Q4,677,642,2262,,,3555,,
1982 Q1,515,532,2013,,,2940,,
1982 Q2,793,880,3174,,,5456,,
1982 Q3,1189,1509,4255,,,8256,,
1982 Q4,689,719,2196,,,3959,,
1983 Q1,653,600,2013,,,2978,,
1983 Q2,942,967,3200,,,5404,,
1983 Q3,1496,1726,4714,,,8575,,
1983 Q4,911,795,2537,,,4037,,
1984 Q1,727,715,2153,,,3256,,
1984 Q2,1074,1184,3582,,,5981,,
1984 Q3,1752,1835,5180,,,8598,,
1984 Q4,1060,932,2727,,,4239,,
1985 Q1,900,845,2336,,,3280,,
1985 Q2,1331,1152,3958,,,5583,,
1985 Q3,2064,1876,5405,,,8257,,
1985 Q4,1147,997,2751,,,4488,,
1986 Q1,937,896,2579,1340,3478,3705,5635,1360
1986 Q2,1278,1457,3320,1500,3349,6343,6216,1350
1986 Q3,2095,2543,5065,1610,3557,9923,6509,1420
1986 Q4,1244,1186,2933,1630,3514,4977,6587,1420
1987 Q1,1015,1086,2641,1660,3673,4241,6564,1500
1987 Q2,1497,1797,4047,1840,3984,7314,7007,1580
1987 Q3,2370,2991,5618,1910,4035,10651,6942,1630
1987 Q4,1377,1406,3259,1870,3871,5241,6934,1550
1988 Q1,1047,1348,2777,1990,3778,4469,6670,1540
1988 Q2,1463,1970,4013,2010,4003,7343,7106,1540
1988 Q3,2230,3212,5549,2040,3981,11022,7378,1520
1988 Q4,1445,1685,3460,2160,4036,5996,7676,1600
1989 Q1,1183,1583,3337,2330,4469,5406,7945,1720
1989 Q2,1567,2212,4265,2250,4230,7952,7630,1660
1989 Q3,2537,3693,5961,2330,4240,11623,7786,1730
1989 Q4,1658,1869,3776,2450,4400,6051,7672,1840
