"Gender","Results","Country","Results","Year","How many born in these years","Other Group","Gender","How many are or aren't in groups","How many are in other groups (n/a)","How many are NOT in other groups (n/a)","Country","Gender (SK)","Differences","Country","Gender (International)","Differences","Age","Gender (by age)","Amount of kpop stars in those age groups"
"F","634","South Korea","1204","1996","116","N/A","M","613","122","1188","South Korea","F","583","Australia","M","1","25","F","69"
"M","676","China","39","1999","116","N/A","F","575","","","South Korea","M","621","Canada","F","1","28","M","60"
"","","Japan","27","1995","111","Super Junior-M","M","6","","","","","","Indonesia","F","1","26","M","60"
"","","USA","14","2000","111","NCT Dream","M","5","","","","","","Indonesia","M","1","22","M","59"
"","","Taiwan","6","1997","106","Loona 1/3","F","5","","","","","","Taiwan","M","1","22","F","58"
"","","Thailand","6","1994","105","Loona yyxy","F","4","","","","","","Malaysia","M","1","23","M","57"
"","","Canada","5","1998","97","9MUSES A","F","4","","","","","","Philippines","F","1","27","M","55"
"","","Hong Kong","4","1993","83","SPICA-S","F","4","","","","","","Hong Kong","F","2","23","F","54"
"","","Indonesia","2","1991","74","UNI.T","F","4","","","","","","Hong Kong","M","2","29","M","53"
"","","Philippines","1","1992","74","NU'EST W","M","4","","","","","","Thailand","F","3","25","M","51"
"","","Australia","1","2001","65","NCT U, NCT 127","M","3","","","","","","Thailand","M","3","24","M","50"
"","","Malaysia","1","1990","59","SuperM","M","3","","","","","","Canada","M","4","26","F","50"
"","","","","2002","40","3RACHA","M","3","","","","","","USA","F","5","24","F","47"
"","","","","1989","38","Bastarz","M","3","","","","","","Taiwan","F","5","30","M","46"
"","","","","1988","27","Big Byung","M","3","","","","","","Japan","M","9","27","F","45"
"","","","","2003","24","NCT 127","M","3","","","","","","USA","M","9","21","F","41"
"","","","","1987","16","Infinite F","M","3","","","","","","China","F","15","28","F","38"
"","","","","2004","14","FANATICS FLAVOR","F","3","","","","","","Japan","F","18","31","F","37"
"","","","","1986","13","Loona Odd Eye Circle","F","3","","","","","","China","M","24","31","M","36"
"","","","","2005","4","Orange Caramel","F","3","","","","","","","","","29","F","33"
"","","","","1985","4","Pristin V","F","3","","","","","","","","","32","F","31"
"","","","","1984","4","Rainbow Blaxx","F","2","","","","","","","","","21","M","29"
"","","","","1983","3","Rainbow Blaxx, Rainbow Pixie","F","2","","","","","","","","","30","F","27"
"","","","","1981","3","2YOON","F","2","","","","","","","","","20","F","25"
"","","","","1977","1","Gugudan Oguogu","F","2","","","","","","","","","20","M","25"
"","","","","1980","1","I.O.I","F","2","","","","","","","","","32","M","24"
"","","","","1982","1","I.O.I, Pristin V","F","2","","","","","","","","","33","F","19"
"","","","","","","I.O.I, WJMK","F","2","","","","","","","","","34","M","15"
"","","","","","","AOA BLACK","F","2","","","","","","","","","33","M","14"
"","","","","","","Infinite H","M","2","","","","","","","","","19","M","13"
"","","","","","","JBJ","M","2","","","","","","","","","34","F","12"
"","","","","","","MXM","M","2","","","","","","","","","35","F","11"
"","","","","","","GD&TOP","M","2","","","","","","","","","18","F","11"
"","","","","","","EXO-CBX","M","2","","","","","","","","","19","F","10"
"","","","","","","WJMK","F","2","","","","","","","","","18","M","7"
"","","","","","","TTS","F","2","","","","","","","","","36","M","7"
"","","","","","","Toheart","M","2","","","","","","","","","17","F","6"
"","","","","","","VIXX LR","M","2","","","","","","","","","35","M","4"
"","","","","","","NCT U, NCT 127, NCT Dream, SuperM","M","1","","","","","","","","","37","M","3"
"","","","","","","NCT U, NCT 127,SuperM","M","1","","","","","","","","","38","M","2"
"","","","","","","NCT U,SuperM","M","1","","","","","","","","","39","M","2"
"","","","","","","NU'EST","M","1","","","","","","","","","36","F","2"
"","","","","","","Troublemaker","M","1","","","","","","","","","37","F","2"
"","","","","","","UNB","M","1","","","","","","","","","40","F","2"
"","","","","","","UNIQ","M","1","","","","","","","","","41","F","2"
"","","","","","","UP10TION","M","1","","","","","","","","","17","M","2"
"","","","","","","VICTON","M","1","","","","","","","","","38","F","1"
"","","","","","","TTS, Oh!GG","F","1","","","","","","","","","39","F","1"
"","","","","","","EXO-CBX, SuperM","M","1","","","","","","","","","40","M","1"
"","","","","","","HOTSHOT","M","1","","","","","","","","","44","M","1"
"","","","","","","IM","M","1","","","","","","","","","","",""
"","","","","","","NCT 127, NCT Dream","M","1","","","","","","","","","","",""
"","","","","","","BinChaenHyunSeuS","F","1","","","","","","","","","","",""
"","","","","","","C.I.V.A","F","1","","","","","","","","","","",""
"","","","","","","C.I.V.A, I.B.I","F","1","","","","","","","","","","",""
"","","","","","","L.U.B","F","1","","","","","","","","","","",""
"","","","","","","Rainbow Pixie","F","1","","","","","","","","","","",""
