Profile Profile,Stage Name Stage Name,Full Name Full Name,Korean Name Korean Name,K. Stage Name K. Stage Name,Date of Birth Date of Birth,Group Group,Country Country,Second Country Second Country,Height Height,Weight Weight,Birthplace Birthplace,Other Group Other Group,Former Group Former Group,Gender Gender,Position Position,Instagram Instagram,Twitter Twitter
Profile,Taeyeon,Kim Taeyeon,???,??,32576,SNSD,South Korea,,160,44,Jeonju,"TTS, Oh!GG",,F,"Leader, Main Vocalist",taeyeon_ss,
,Sunny,Lee Sunkyu,???,??,32643,SNSD,South Korea,,158,43,California,,,F,,svnnynight,
,Tiffany,Hwang Miyoung,???,???,32721,SNSD,South Korea,USA,163,50,San Francisco,TTS,,F,,xolovestephi,
,Hyoyeon,Kim Hyoyeon,???,??,32773,SNSD,South Korea,,158,48,Incheon,,,F,,watasiwahyo,
,Yuri,Kwon Yuri,???,??,32847,SNSD,South Korea,,167,45,Goyang,,,F,,yulyulk,
,Sooyoung,Choi Sooyoung,???,??,32914,SNSD,South Korea,,170,48,Gwangju,,,F,,hotsootuff,
,Yoona,Im Yoona,???,??,33023,SNSD,South Korea,,166,47,Seoul,,,F,,yoona__lim,
,Seohyun,Seo Joohyun,???,??,33417,SNSD,South Korea,,168,48,Seoul,TTS,,F,,seojuhyun_s,
,Jessica,Jessica Jung,??? ?,???,32616,,South Korea,,0,0,,,SNSD,F,,jessica.syj,
,CL,Lee Chaerin,???,??,33295,2NE1,South Korea,,0,0,,,,F,,chaelincl,
,Bom,Park Bom,??,?,30765,2NE1,South Korea,,0,0,,,,F,,haroobommi,
,Dara,Park Sandara,????,??,30998,2NE1,South Korea,,0,0,,,,F,,daraxxi,
,Minzy,Kong Minji,???,??,34352,2NE1,South Korea,,0,0,,,,F,,,
,Hyorin,Kim Hyojung,???,??,33218,SISTAR,South Korea,,0,0,,SISTAR19,,F,,xhyolynx,
,Bora,Yoon Bora,???,??,32872,SISTAR,South Korea,,0,0,,SISTAR19,,F,,borabora_sugar,
,Soyou,Kang Jihyun,???,??,33646,SISTAR,South Korea,,0,0,,,,F,,soooo_you,
,Dasom,Kim Dasom,???,??,34095,SISTAR,South Korea,,0,0,,,,F,,som0506,
,Jihyun,Nam Jihyun,???,??,32882,4minute,South Korea,,167,0,Seoul,,,F,,njh9019,
,Gayoon,Heo Gayoon,???,??,33011,4minute,South Korea,,165,0,Seoul,2YOON,,F,,gayoon_heo,
,Jiyoon,Jeon Jiyoon,???,??,33161,4minute,South Korea,,165,0,Seoul,2YOON,,F,,jenyerjiyoon,
Profile,HyunA,Kim Hyuna,???,??,33761,4minute,South Korea,,164,0,Jeolla,,Wonder Girls,F,,hyunah_aa,
,Sohyun,Kwon Sohyun,???,??,34576,4minute,South Korea,,162,0,Seoul,,,F,,kkwonsso_94,
Profile,Jimin,Shin Jimin,???,??,33246,,South Korea,,160,43,Seoul,AOA BLACK,AoA,F,,jiminbaby_18,
Profile,Choa,Park Choa,???,??,32938,,South Korea,,160,42,Incheon,,"AoA, AOA BLACK",F,,queenchoa_,
Profile,Yuna,Seo Yuna,???,??,33968,AoA,South Korea,,163,45,Busan,AOA BLACK,,F,,yn_s_1230,
,Yookyung,Seo Yookyung,???,??,34043,,South Korea,,167,48,,,AOA BLACK,F,,,
Profile,Hyejeong,Shin Hyejeong,???,??,34191,AoA,South Korea,,170,48,Seoul,,,F,,dongdong810,
Profile,Mina,Kwon Mina,???,??,34233,,South Korea,,159,43,Busan,,"AOA, AOA BLACK",F,,kvwowv,
Profile,Seolhyun,Kim Seolhyun,???,??,34702,AoA,South Korea,,167,47,Bucheon,,,F,,sh_9513,
Profile,Chanmi,Kim Chanmi,???,??,35235,AoA,South Korea,,166,47,Gumi,,,F,,chanmi_96a,
Profile,Sojin,Park Sojin,???,??,31553,Girl's Day,South Korea,,167,47,Daegu,,,F,,ssozi_sojin,
Profile,Yura,Kim Ahyoung,???,??,33914,Girl's Day,South Korea,,168,49,Ulsan,,,F,,yura_936,
Profile,Minah,Bang Minah,???,??,34102,Girl's Day,South Korea,,165,47,Incheon,,,F,,bbang_93,
Profile,Hyeri,Lee Hyeri,???,??,34494,Girl's Day,South Korea,,167,46,Gwangju,,,F,,hyeri_0609,
,Jea,Kim Hyojin,???,??,29847,Brown Eyed Girls,South Korea,,0,0,,,,F,,jeaworld,
,Miryo,Jo Mihye,???,??,29892,Brown Eyed Girls,South Korea,,0,0,,,,F,,miryoakajohoney,
,Narsha,Park Hyojin,???,???,29948,Brown Eyed Girls,South Korea,,0,0,,,,F,,narsha81,
,Gain,Son Gain,???,??,32040,Brown Eyed Girls,South Korea,,0,0,,,,F,,songain87,
Profile,Chorong,Park Chorong,???,??,33300,Apink,South Korea,,165,0,Chungwongoon,Chobom,,F,,mulgokizary,
Profile,Bomi,Yoon Bomi,???,??,34194,Apink,South Korea,,163,0,Suwon,Chobom,,F,,,
Profile,Eunji,Jung Eunji,???,??,34199,Apink,South Korea,,163,0,Busan,,,F,,artist_eunji,
Profile,Naeun,Son Naeun,???,??,34375,,South Korea,,168,0,Seoul,,Apink,F,,marcella_the_naeun,
Profile,Namjoo,Kim Namjoo,???,??,34804,Apink,South Korea,,165,0,Seoul,,,F,,sarangdungy,
Profile,Hayoung,Oh Hayoung,???,??,35265,Apink,South Korea,,167,0,Seoul,,,F,,o_h_y_y,
Profile,Solji,Heo Solji,???,??,32518,EXID,South Korea,,170,0,Seongnam,,,F,,soul.g_heo,
Profile,LE,Ahn Hyejin,???,??,33582,EXID,South Korea,,168,0,Cheonan,,,F,,x_xellybabyx,
Profile,Hani,Ahn Hee-yeon,???,??,33725,EXID,South Korea,,168,0,Seoul,,,F,,ahnhani_92,
Profile,Hyerin,Seo Hyerin,???,??,34204,EXID,South Korea,,165,0,Gwangju,,,F,,hyeliniseo,
Profile,Junghwa,Park Junghwa,???,??,34827,EXID,South Korea,,169,0,Anyang,,EXID,F,,jeonghwa_0508,
,Hyeyeon,Kang Hyeyeon,???,??,33215,BESTie,South Korea,,0,0,,,EXID,F,,hyeyeon_2,
,Uji,Jang Yuji,???,??,33240,,South Korea,,0,0,,,"EXID, BESTie",F,,yudi_didi,
,Dahye,Song Dahye,???,??,34132,,South Korea,,0,0,,,"EXID, BESTie",F,,dahye0612,
